Energy CH1 (Wh);Energy CH2 (Wh);Energy CH3 (Wh);time
77;6;0;07/12/2018 22:00:00
50;13;0;07/12/2018 23:00:00
29;13;0;08/12/2018 00:00:00
102;13;0;08/12/2018 01:00:00
30;13;0;08/12/2018 02:00:00
56;13;0;08/12/2018 03:00:00
68;3;0;08/12/2018 04:00:00
26;11;0;08/12/2018 05:00:00
93;14;0;08/12/2018 06:00:00
41;13;0;08/12/2018 07:00:00
28;13;0;08/12/2018 08:00:00
98;7;0;08/12/2018 09:00:00
22;7;0;08/12/2018 10:00:00
65;13;0;08/12/2018 11:00:00
65;14;0;08/12/2018 12:00:00
29;13;0;08/12/2018 13:00:00
103;14;0;08/12/2018 14:00:00
18;0;0;08/12/2018 15:00:00
50;14;0;08/12/2018 16:00:00
84;14;0;08/12/2018 17:00:00
21;5;0;08/12/2018 18:00:00
87;9;0;08/12/2018 19:00:00
42;13;0;08/12/2018 20:00:00
37;13;0;08/12/2018 21:00:00
96;14;0;08/12/2018 22:00:00
30;14;0;08/12/2018 23:00:00
76;14;0;09/12/2018 00:00:00
58;13;0;09/12/2018 01:00:00
29;13;0;09/12/2018 02:00:00
98;6;0;09/12/2018 03:00:00
24;7;0;09/12/2018 04:00:00
61;13;0;09/12/2018 05:00:00
71;13;0;09/12/2018 06:00:00
29;13;0;09/12/2018 07:00:00
87;2;0;09/12/2018 08:00:00
35;11;0;09/12/2018 09:00:00
34;13;0;09/12/2018 10:00:00
97;13;0;09/12/2018 11:00:00
28;13;0;09/12/2018 12:00:00
76;11;0;09/12/2018 13:00:00
107;2;0;09/12/2018 14:00:00
47;13;0;09/12/2018 15:00:00
37;13;0;09/12/2018 16:00:00
98;13;0;09/12/2018 17:00:00
30;13;0;09/12/2018 18:00:00
70;2;0;09/12/2018 19:00:00
52;12;0;09/12/2018 20:00:00
30;14;0;09/12/2018 21:00:00
103;14;0;09/12/2018 22:00:00
34;18;0;09/12/2018 23:00:00
122;73;0;10/12/2018 00:00:00
81;27;0;10/12/2018 01:00:00
31;16;0;10/12/2018 02:00:00
103;13;0;10/12/2018 03:00:00
36;14;0;10/12/2018 04:00:00
50;14;0;10/12/2018 05:00:00
90;13;0;10/12/2018 06:00:00
21;6;0;10/12/2018 07:00:00
108;44;0;10/12/2018 08:00:00
51;11;0;10/12/2018 09:00:00
30;13;0;10/12/2018 10:00:00
100;13;0;10/12/2018 11:00:00
60;45;0;10/12/2018 12:00:00
338;296;0;10/12/2018 13:00:00
475;415;0;10/12/2018 14:00:00
33;15;0;10/12/2018 15:00:00
163;86;0;10/12/2018 16:00:00
128;102;0;10/12/2018 17:00:00
107;95;0;10/12/2018 18:00:00
210;121;0;10/12/2018 19:00:00
74;61;0;10/12/2018 20:00:00
107;66;0;10/12/2018 21:00:00
156;98;0;10/12/2018 22:00:00
40;23;0;10/12/2018 23:00:00
163;17;0;11/12/2018 00:00:00
50;15;0;11/12/2018 01:00:00
36;14;0;11/12/2018 02:00:00
85;6;0;11/12/2018 03:00:00
45;8;0;11/12/2018 04:00:00
30;13;0;11/12/2018 05:00:00
93;13;0;11/12/2018 06:00:00
43;13;0;11/12/2018 07:00:00
283;172;0;11/12/2018 08:00:00
134;13;0;11/12/2018 09:00:00
52;0;0;11/12/2018 10:00:00
170;14;0;11/12/2018 11:00:00
149;14;0;11/12/2018 12:00:00
123;37;0;11/12/2018 13:00:00
74;48;0;11/12/2018 14:00:00
122;98;0;11/12/2018 15:00:00
115;39;0;11/12/2018 16:00:00
53;39;0;11/12/2018 17:00:00
977;174;0;11/12/2018 18:00:00
287;66;0;11/12/2018 19:00:00
353;115;0;11/12/2018 20:00:00
168;45;0;11/12/2018 21:00:00
227;48;0;11/12/2018 22:00:00
180;103;0;11/12/2018 23:00:00
71;36;0;12/12/2018 00:00:00
123;1;0;12/12/2018 01:00:00
0;0;0;12/12/2018 02:00:00
0;0;0;12/12/2018 03:00:00
0;0;0;12/12/2018 04:00:00
0;0;0;12/12/2018 05:00:00
0;0;0;12/12/2018 06:00:00
0;0;0;12/12/2018 07:00:00
0;0;0;12/12/2018 08:00:00
0;0;0;12/12/2018 09:00:00
0;0;0;12/12/2018 10:00:00
0;0;0;12/12/2018 11:00:00
0;0;0;12/12/2018 12:00:00
0;0;0;12/12/2018 13:00:00
0;0;0;12/12/2018 14:00:00
0;0;0;12/12/2018 15:00:00
0;0;0;12/12/2018 16:00:00
287;77;0;12/12/2018 17:00:00
