"id","name","valley","flat","peak","from_date","to_date"
1,"2.0DHA",0.069060,0,0.143347,2018-01-24,2019-02-23
1,"2.0DHA",0.085,0,0.159,2019-01-24,2020-02-23
1,"2.0TD", 0.076475,0.118826,0.215935,2020-06-01,2021-06-01
